Taxon	Taxonomic_ID
amr	329726
acl	441768
acr	349163
afr	243159
afe	380394
aca	240015
ace	351607
aav	397945
dia	535289
ajs	232721
abn	480119
abb	557600
abc	405416
acb	400667
aby	509173
abm	509170
acc	871585
aci	62977
aec	103372
apa	537457
apj	434271
apl	416269
asu	339671
api	7029
aag	7159
aha	380703
asa	382245
ape	272557
abv	936046
abp	597362
aap	634176
atu	176299
ara	311403
avi	311402
vfm	388396
aml	9646
amu	349741
abo	393595
vfi	312309
vsa	316275
aeh	187272
amt	293826
aoe	350688
amj	8496
asn	38654
amc	314275
ava	240292
acp	455488
ade	290397
afw	404589
ank	447217
amf	320483
ama	234826
aph	212042
apla	8839
aga	180454
afl	491915
ame	7460
aae	224324
ath	3702
afu	224325
abu	367737
eba	76114
aau	290340
ach	452863
art	290399
ago	284811
afm	330879
ani	227321
ang	425011
aor	510516
ayw	322098
adl	717982
azo	62928
azc	438753
avn	322710
beq	5872
bay	326423
bai	592021
ban	198094
bar	261594
bah	568206
bat	260799
bcx	572264
bcr	405534
bcu	405535
bca	222523
bce	226900
bcb	405532
bcz	288681
bcg	405531
bcq	361100
bcl	66692
bcy	315749
bha	272558
bli	279010
bld	279010
bpu	315750
bsu	224308
btk	281309
btl	412694
bwe	315730
bfs	272559
bfr	295405
bth	226186
bvu	435590
bacu	310752
bbk	360095
bgr	634504
bhe	283166
bqu	283165
btr	382640
bcom	717646
bci	374463
bba	264462
bid	395963
bcv	471853
bad	367928
bla	442563
blc	580050
blt	555970
blj	205913
blo	206672
bln	391904
bsc	665912
bfl	203907
bmor	7091
bav	360910
bbr	257310
bpa	257311
bpe	257313
bpt	340100
baf	390236
bbs	521010
bbu	224326
bbz	445985
bdu	412419
bga	290434
bhr	314723
bre	412418
btu	314724
bta	9913
bfu	332648
bdi	15368
bhy	565034
bja	224911
bbt	288000
bra	114615
bfo	7739
brp	3711
bbe	358681
bmf	359391
bmb	262698
bmc	430066
bcs	483179
bmi	546272
bme	224914
bov	444178
bms	204722
bmt	470137
bmy	6279
bap	563178
buc	107806
bab	224915
bcc	372461
bas	198804
bau	561501
bam	339670
bac	398577
bcn	331271
bch	331272
bcj	216591
bcm	406425
bgl	626418
bur	482957
bma	243160
bml	412022
bmn	320389
bmv	320388
bmu	395019
bmj	395019
bph	391038
bpy	398527
bpl	357348
bpm	320372
bpd	320373
bps	272560
bpr	536230
bte	271848
bvi	269482
bxe	266265
cbr	6238
cel	6239
ate	521460
csc	351627
cma	397948
cjc	9483
cmk	7868
cfo	104421
cco	360104
ccv	360105
cff	360106
cha	360107
cjr	195099
cjd	360109
cjj	354242
cju	407148
cje	192222
cla	306263
cal	237561
cot	1136231
cten	590646
aas	452471
aps	511995
bpn	291272
crp	387662
dau	477974
hde	572265
kcr	374847
aba	204669
las	537021
mpl	521011
pub	335992
pal	59748
pml	37692
pcu	264201
rma	413404
sus	234267
smg	444179
vok	412965
cfa	9615
coc	521097
chx	9925
chy	246194
ccr	190650
ccs	565050
cak	366602
cja	498211
cthr	759272
mes	266779
cmu	243161
cta	315277
ctd	759363
ctf	759364
ctr	272561
ctg	707183
ctk	707184
ctn	707187
ctb	471472
ctl	471473
cre	3055
cab	218497
cca	227941
cfe	264202
cpa	115711
cpn	115713
cpj	138677
cpt	182082
cvr	554065
cpc	517417
cch	340177
cli	290315
cpb	331678
cph	290317
pvi	290318
cte	194439
cag	326427
cau	324602
chl	480224
cts	517418
ccp	2769
cvi	243365
csa	290398
cam	3827
cin	7719
cko	290338
cit	2711
cmi	443906
cms	31964
cac	272562
cbe	290402
cba	441770
cbo	413999
cbh	441771
cby	536232
cbl	498214
cbk	935198
cbb	498213
cbi	515621
cbt	508767
cbf	441772
cce	394503
ckl	431943
ckr	583346
cno	386415
cpe	195102
cpf	195103
cpr	289380
ctc	212717
cpw	222929
clv	8932
cps	167879
suu	1118959
suj	869816
suz	1123523
saun	1193576
saus	1194085
sauu	1201010
saug	1368166
cput	741705
cpo	309798
cmt	983644
car	548476
cdi	257309
cef	196164
cgb	196627
cgl	196627
cgt	340322
cjk	306537
ckp	645127
cur	504474
cbg	434923
cbc	434924
cbd	434922
cbs	360115
cbu	227377
crg	29159
cge	10029
esa	290339
cnb	283643
cne	214684
cho	353151
cpv	353152
cmo	3656
csv	3659
cqu	7176
rme	266264
reu	264198
cti	977880
cme	280699
naz	551115
cyt	43989
cyc	65393
cyn	395961
cyp	41431
chu	269798
dre	7955
dha	284592
dar	159087
det	243164
deb	216389
deh	255470
ddr	546414
dge	319795
dra	243230
dac	398578
dal	439235
dhd	272564
dsy	138119
dat	177437
dol	96561
dba	525897
dps	177439
drm	349161
dde	207559
dds	525146
dma	573370
dsa	526222
dvl	391774
dvm	883
dvu	882
dka	490899
dno	246195
dsq	732165
dda	579405
dth	309799
dtu	515635
ddi	352472
dsh	398580
dan	7217
der	7220
dgr	7222
dme	7227
dmo	7230
dpe	7234
dpo	46245
dse	7238
dsi	7240
dvi	7244
dwi	7260
dya	7245
eic	634503
ecn	269484
ech	205920
erg	302409
erw	254945
eru	254945
egu	51953
emi	445932
ecu	284813
ehe	907965
ero	1178016
blu	1316444
bapf	1009859
bapg	1009858
bapu	1009856
bapw	1009857
bak	1005090
baw	713600
bua	713603
bup	713602
bajc	713601
bbg	1186051
bbl	331104
bchr	1240471
bva	859654
wcl	246273
bcp	1075399
cru	1202536
crc	1202537
cri	667013
wen	1236909
wed	1236908
crh	1202538
crt	1202539
bmm	1074889
woo	100901
crv	1202540
bpi	600809
buh	1005057
edi	370354
ehi	294381
ent	399742
efa	226185
ecb	9796
erj	215689
eli	314225
eck	585055
ecv	405955
ecl	481805
ebd	866768
ebw	595496
ecw	331111
ecd	316385
eco	511145
ecj	316407
ecg	574521
ecy	409438
ecf	444450
ece	155864
ecs	386585
eum	585056
eci	364106
ecz	585035
ecp	362663
ecc	199310
ect	585057
ecr	585034
ecq	585397
ecx	331112
ecm	439855
efe	585054
eel	515620
ere	515619
egr	71139
eus	72664
ela	1287681
esi	262543
eat	360911
fca	9685
fno	381764
fab	59894
fma	334413
fjo	376686
fps	402612
fme	694068
fve	101020
fcf	984129
fph	484022
fta	458234
ftl	376619
fth	393011
ftm	441952
ftn	401614
ftf	393115
ftr	510831
ftu	177416
ftw	418136
fal	326424
fra	106370
fre	298653
fpu	1028729
fnu	190304
gsl	130081
gga	9031
gvh	1009464
gau	379066
